rowNumber,Title,currentSlug,cleanedSlug,program,categoryLabel,normalizedCategoryLabelSuggestion,cardImage,imageReviewReason,eventCardDate,sortDate,ticketPrimaryUrl,sourceUrl,status,isFeaturedHome,isFeaturedProgram,reviewReason,recommendedAction
23,GAME ON! Australia Premiere Tour 2025,MANUAL,game-on-australia-premiere-tour-2025,Anime & Gaming Concerts,Gaming Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1523374228107-6e44bd2b524e?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,10 MAY 2025,2025-05-10,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts
24,Gareth.T - NA,MANUAL,gareth-t-na,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,APR 2025,2025-04-10,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
25,wannasleep,MANUAL,wannasleep,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,MAR 2025,2025-03-18,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
26,Crystalline Resonance FINAL FANTASY Piano Concert,MANUAL,crystalline-resonance-final-fantasy-piano-concert,Anime & Gaming Concerts,Gaming Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1508973379184-7517410fb0bc?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,21 FEB–05 MAR 2025,2025-03-05,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts
27,831,MANUAL,831,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,FEB–OCT 2024,2024-10-25,,,past,true,true,reused Naruto placeholder image; title too vague or numeric-only,replace reused Naruto placeholder; confirm editorial display title
28,BESTARDS,MANUAL,bestards,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,OCT 2024,2024-10-24,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
29,Oddshapes Music Festival,MANUAL,oddshapes-music-festival-2024,Live Music & Festivals,Music Festival,Live Music & Festivals,/media/naruto-hero.jpg,reused Naruto placeholder image,OCT 2024,2024-10-01,,,past,true,true,reused Naruto placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; duplicate title,replace reused Naruto placeholder; normalize categoryLabel to Live Music & Festivals; confirm this is a distinct event/year
30,Nobuo Uematsu conTIKI SHOW,MANUAL,nobuo-uematsu-contiki-show,Anime & Gaming Concerts,Gaming Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1508973379184-7517410fb0bc?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,05–08 SEP 2024,2024-09-08,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts
31,Gareth.T - ASIA&AU,MANUAL,gareth-t-asia-and-au,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,SEP 2024,2024-09-01,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
32,Maxim Vengerov,MANUAL,maxim-vengerov,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1465821185615-20b3c2fbf41b?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,05–10 AUG 2024,2024-08-10,,https://www.castiglione.com.au/maximvengerov,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
33,ONE PIECE Music Symphony,MANUAL,one-piece-music-symphony,Anime & Gaming Concerts,Anime Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,19–27 JUL 2024,2024-07-27,https://castiglione.flicket.io/events/efcd3736-cb1a-4755-b26e-33cb0e3933cd/reservation,https://www.castiglione.com.au/onepiecemusicsymphony,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts
34,ONE PIECE Piano Symphony,MANUAL,one-piece-piano-symphony-2024,Anime & Gaming Concerts,Anime Concerts,Anime & Gaming Concerts,https://images.unsplash.com/photo-1526142684086-7ebd69df27a5?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,23–25 JUL 2024,2024-07-25,,https://www.castiglione.com.au/onepiecepianosymphony,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; duplicate title,replace Unsplash placeholder; normalize categoryLabel to Anime & Gaming Concerts; confirm this is a distinct event/year
35,Fish Leong,MANUAL,fish-leong,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,JAN 2024,2024-01-25,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
36,COM'Z,MANUAL,com-z,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,DEC 2023–JAN 2024,2023-12-07,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
37,MILOŠ: The Classical Guitar Hero,MANUAL,milos-the-classical-guitar-hero,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1524368535928-5b5e00ddc76b?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,05–12 NOV 2023,2023-11-12,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
38,Juan Diego Flórez in Recital,MANUAL,juan-diego-florez-in-recital-2023,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1507838153414-b4b713384a76?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,02–07 NOV 2023,2023-11-07,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation; duplicate title,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre; confirm this is a distinct event/year
39,Kanho Yakushiji,MANUAL,kanho-yakushiji,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,OCT 2023,2023-10-19,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
40,Cicada,MANUAL,cicada,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,SEP 2023,2023-09-21,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
41,ShowLo,MANUAL,showlo,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,SEP 2023,2023-09-09,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
42,XiaoXia,MANUAL,xiaoxia,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,AUG 2023,2023-08-17,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
43,A-Mei,MANUAL,a-mei,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,JUL 2023,2023-07-28,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
45,WeiBird,MANUAL,weibird,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,JUN 2023,2023-06-09,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
46,NeonGarden,MANUAL,neongarden,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,MAY–JUN 2023,2023-05-30,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
47,The Chairs,MANUAL,the-chairs,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,MAY 2023,2023-05-27,,,past,true,true,reused Naruto placeholder image,replace reused Naruto placeholder
48,Crowd Lu,MANUAL,crowd-lu-2023,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,APR 2023,2023-04-12,,,past,true,true,reused Naruto placeholder image; duplicate title,replace reused Naruto placeholder; confirm this is a distinct event/year
49,Sonica Music Festival,MANUAL,sonica-music-festival,Live Music & Festivals,Music Festival,Live Music & Festivals,/media/naruto-hero.jpg,reused Naruto placeholder image,MAR 2023,2023-03-01,,,past,true,true,reused Naruto placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace reused Naruto placeholder; normalize categoryLabel to Live Music & Festivals
50,Sunset Rollercoaster,MANUAL,sunset-rollercoaster-2022,Live Music & Festivals,Lucid Live,Lucid Live,/media/naruto-hero.jpg,reused Naruto placeholder image,DEC 2022,2022-12-12,,,past,true,true,reused Naruto placeholder image; duplicate title,replace reused Naruto placeholder; confirm this is a distinct event/year
52,Ray Chen: In Recital,MANUAL,ray-chen-in-recital-2022,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,06–13 AUG 2022,2022-08-13,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
53,Mai Fujisawa: Melody of Japan,MANUAL,mai-fujisawa-melody-of-japan,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,14–16 NOV 2019,2019-11-16,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
54,Lisa Ono: Music Journey,MANUAL,lisa-ono-music-journey,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,17–22 SEP 2019,2019-09-22,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
55,Piano Battle,MANUAL,piano-battle,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,25 AUG–01 SEP 2019,2019-09-01,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
56,Yiruma 2019: Frame,MANUAL,yiruma-2019-frame,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,10–18 MAY 2019,2019-05-18,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
57,Yundi Li 2018 Australia Tour: Touch of Chopin,MANUAL,yundi-li-2018-australia-tour-touch-of-chopin,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,03–06 NOV 2018,2018-11-06,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
58,Maksim Mrvica 2018 Australia Tour: Croatian Rhapsody,MANUAL,maksim-mrvica-2018-australia-tour-croatian-rhapsody,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,26–30 SEP 2018,2018-09-30,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
59,Lisa Ono Australia Tour: La Vie En Rose,MANUAL,lisa-ono-australia-tour-la-vie-en-rose,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,17–20 MAY 2018,2018-05-20,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
60,Peter Bence,MANUAL,peter-bence,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,22 APR 2018,2018-04-22,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
61,Yiruma Piano 2017 Oceania Tour: Autumn Rain,MANUAL,yiruma-piano-2017-oceania-tour-autumn-rain,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,MAY–DEC 2017,2017-12-14,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
62,Shi Jin Piano Concert: Melody of the Night,MANUAL,shi-jin-piano-concert-melody-of-the-night,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,12–14 NOV 2017,2017-11-14,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
63,Lu Siqing Violin Concert: Nostalgia,MANUAL,lu-siqing-violin-concert-nostalgia,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1511192336575-5a79af67a629?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,16–17 AUG 2016,2016-08-17,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
64,Yiruma Piano 2016 Australia Tour: Kiss the Rain,MANUAL,yiruma-piano-2016-australia-tour-kiss-the-rain,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,26–31 JUL 2016,2016-07-31,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
65,Sheng Zhongguo Violin Concert,MANUAL,sheng-zhongguo-violin-concert,Classical Concerts & Theatre,Classical Concerts,Classical Concerts & Theatre,https://images.unsplash.com/photo-1519683109079-d5f539e1542f?auto=format&fit=crop&w=1200&q=80,Unsplash placeholder image,03–04 JUL 2015,2015-07-04,,,past,true,true,Unsplash placeholder image; legacy categoryLabel needs editorial taxonomy confirmation,replace Unsplash placeholder; normalize categoryLabel to Classical Concerts & Theatre
